Ofício	Processo	Prazo
000.082/2025-AUDCONTRATAÇÕES	008.885/2025-7	5 dias
027.595/2025-SEPROC	005.807/2024-7	90 dias
024.495/2025-SEPROC	016.714/2021-0	60 dias
023.697/2025-SEPROC	020.985/2023-1	60 dias
021.227/2025-SEPROC	032.934/2023-8	60 dias
022.462/2025-SEPROC	009.123/2025-3	15 dias
000.031/2025-AUDBENEFÍCIOS	000.890/2025-1	10 dias
022.125/2025-SEPROC	005.604/2024-9	60 dias
018.749/2025-SEPROC	036.315/2023-0	60 dias
015.104/2025-SEPROC	024.249/2016-5	15 dias
014.687/2025-SEPROC	024.939/2024-2	15 dias
013.118/2025-SEPROC	023.044/2024-1	30 dias
006.597/2025-SEPROC	025.671/2024-3	60 dias
004.833/2025-SEPROC	002.492/2020-2	15 dias
001.988/2025-SEPROC	037.375/2023-7	15 dias
000.481/2025-SEPROC	028.516/2024-9	15 dias
057.488/2024-SEPROC	011.333/2022-7	15 dias
057.489/2024-SEPROC	011.333/2022-7	15 dias
057.231/2024-SEPROC	008.443/2024-6	15 dias
057.168/2024-SEPROC	002.442/2024-8	15 dias
056.940/2024-SEPROC	045.307/2021-0	15 dias
051.784/2024-SEPROC	005.807/2024-7	15 dias
052.614/2024-SEPROC	017.773/2024-5	15 dias
000.094/2024-AUDSUSTENTABILIDADE	014.356/2024-4	10 dias
044.344/2024-SEPROC	045.309/2021-3	15 dias
044.343/2024-SEPROC	045.309/2021-3	15 dias
044.646/2024-SEPROC	018.032/2024-9	15 dias
040.168/2024-SEPROC	015.060/2024-1	15 dias
038.425/2024-SEPROC	011.388/2002-0	15 dias
000.158/2024-AUDGESTÃOINOVAÇÃO	008.687/2024-2	10 dias
036.229/2024-SEPROC	018.032/2024-9	5 dias
000.945/2024-AUDEDUCAÇÃO	017.461/2024-3	10 dias
034.017/2024-SEPROC	006.380/2019-0	15 dias
032.205/2024-SEPROC	005.602/2024-6	60 dias
032.201/2024-SEPROC	000.258/2024-5	60 dias
031.835/2024-SEPROC	022.919/2023-6	10 dias
031.651/2024-SEPROC	000.474/2024-0	30 dias
027.151/2024-SEPROC	020.810/2023-7	15 dias
027.148/2024-SEPROC	032.168/2023-3	15 dias
025.358/2024-SEPROC	022.029/2023-0	60 dias
022.691/2024-SEPROC	035.212/2023-3	15 dias
021.887/2024-SEPROC	040.487/2023-7	15 dias
022.186/2024-SEPROC	037.530/2023-2	15 dias
015.641/2024-SEPROC	014.523/2023-0	90 dias
012.126/2024-SEPROC	021.853/2023-1	25 dias
010.635/2024-SEPROC	012.926/2017-5	90 dias
000.112/2024-AUDPESSOAL	034.354/2023-9	15 dias
006.953/2024-SEPROC	037.375/2023-7	180 dias
000.238/2024-AUDEDUCAÇÃO	036.167/2021-5	30 dias
004.739/2024-SEPROC	006.464/2022-0	90 dias
000.740/2023-AUDPESSOAL	-	15 dias
055.352/2023-SEPROC	016.714/2021-0	120 dias
050.199/2023-SEPROC	022.240/2023-3	15 dias
049.666/2023-SEPROC	011.388/2002-0	15 dias
048.795/2023-SEPROC	000.050/2020-2	15 dias
042.620/2023-SEPROC	020.810/2023-7	10 dias
024.289/2023-SEPROC	007.269/2022-6	77 dias
000.320/2023-AUDPESSOAL	019.347/2023-5	15 dias
027.119/2023-SEPROC	009.637/2023-0	10 dias
025.437/2023-SEPROC	014.693/2023-2	10 dias
018.717/2023-SEPROC	014.113/2022-8	15 dias
015.782/2023-SEPROC	021.503/2022-2	10 dias
013.803/2023-SEPROC	027.908/2020-8	30 dias
014.532/2023-SEPROC	002.139/2023-5	10 dias
008.974/2023-SEPROC	011.388/2002-0	15 dias
006.325/2023-SEPROC	020.712/2022-7	7 dias
005.783/2023-SEPROC	000.928/2023-2	5 dias
005.782/2023-SEPROC	000.928/2023-2	5 dias
004.590/2023-SEPROC	031.690/2022-0	7 dias
002.890/2023-SEPROC	031.690/2022-0	8 dias
002.341/2023-SEPROC	039.600/2020-3	180 dias
002.604/2023-SEPROC	020.710/2022-4	4 dias
000.936/2023-SEPROC	020.712/2022-7	3 dias
067.030/2022-SEPROC	031.690/2022-0	20 dias
000.006/2022-SECEXPREVIDÊNCIA	031.690/2022-0	20 dias
064.453/2022-SEPROC	014.113/2022-8	15 dias
064.136/2022-SEPROC	042.082/2021-8	180 dias
061.755/2022-SEPROC	045.311/2021-8	30 dias
062.794/2022-SEPROC	044.597/2021-5	15 dias
061.758/2022-SEPROC	045.311/2021-8	30 dias
060.977/2022-SEPROC	045.309/2021-3	15 dias
060.954/2022-SEPROC	045.105/2021-9	15 dias
054.452/2022-SEPROC	014.113/2022-8	15 dias
000.001/2022-SECEXPREVIDÊNCIA	006.466/2022-2	15 dias
050.782/2022-SEPROC	010.755/2022-5	15 dias
050.243/2022-SEPROC	006.464/2022-0	15 dias
049.163/2022-SEPROC	017.868/2020-3	15 dias
038.738/2022-SEPROC	009.995/2003-9	15 dias
048.948/2022-SEPROC	007.641/2022-2	10 dias
000.414/2022-SEFIP	007.802/2022-6	15 dias
047.071/2022-SEPROC	027.908/2020-8	15 dias
044.937/2022-SEPROC	006.455/2021-2	90 dias
031.859/2022-SEPROC	007.362/2022-6	15 dias
000.329/2022-SEFIP	007.802/2022-6	15 dias
029.218/2022-SEPROC	019.333/2021-8	15 dias
029.214/2022-SEPROC	019.333/2021-8	15 dias
029.213/2022-SEPROC	019.333/2021-8	15 dias
030.655/2022-SEPROC	033.778/2020-5	15 dias
022.071/2022-SEPROC	039.288/2020-0	150 dias
021.978/2022-SEPROC	033.653/2020-8	15 dias
022.889/2022-SEPROC	033.653/2020-8	15 dias
017.937/2022-SEPROC	035.938/2020-0	60 dias
017.970/2022-SEPROC	028.744/2015-2	15 dias
017.850/2022-SEPROC	044.275/2021-8	15 dias
017.019/2022-SEPROC	033.172/2017-0	30 dias
016.587/2022-SEPROC	007.011/2022-9	15 dias
010.567/2022-SEPROC	046.928/2020-0	15 dias
007.270/2022-SEPROC	038.587/2021-1	10 dias
000.038/2022-SEFIP	042.958/2021-0	15 dias
005.641/2022-SEPROC	000.517/2022-4	15 dias
